"project_a","project_b","weight_a","weight_b","star_count_a","fork_count_a","star_count_b","fork_count_b"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Hardhat: Ethereum development environment with Ignition deployments, EDR execution, and pnpm.","0.1016685195","0.8983314805","729","75","7385","1437"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Java Ethereum client Teku supports Beacon Chain, validator functions, and Deneb/EIP-4844 upgrade.","0.66944575473","0.33055424527","729","75","692","298"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Solidity, an Ethereum smart contract language, enhances Yul IR, SMTChecker, and language features like try-catch.","0.44902172113","0.55097827887","729","75","23573","5864"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Remix IDE: Browser-based Solidity/Vyper/Circom IDE with AI features, contract verification, and enhanced UI/UX.","0.49839639443","0.50160360557","729","75","2522","999"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality, smart contracts, and network protocols.","0.27250272366","0.72749727635","729","75","47933","20331"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra, Deneb).","0.29091816311","0.70908183689","729","75","1218","309"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards, access control, and upgradeability.","0.36277160654","0.63722839346","729","75","25121","11847"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Ethereum ERC-4337 account abstraction implementation with gas optimization and enhanced security.","0.34421922095","0.65578077905","729","75","1574","669"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Go library for fast Inner Product Arguments (IPA) and multiproofs using Bandersnatch.","0.7171862555","0.2828137445","729","75","33","14"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Go-libp2p: Modular P2P networking stack using QUIC, WebRTC, with enhanced security, performance, and resource management.","0.2370975136","0.7629024864","729","75","6140","1088"
"Prettier plugin for Solidity formatting, supporting latest Prettier & Node.js with continuous improvements.","Rust Ethereum 'core' provides Solidity macro, dynamic ABI, primitives, and EIP-712 support.","0.544486083","0.455513917","729","75","809","162"
"Prysm: Go Ethereum consensus client implementing proof-of-stake, sharding, and supporting Eth2 upgrades.","JavaScript Ethereum library (ethers.js v6) with enhanced providers, contracts, wallets, and EIP-4844 support.","0.50142507311","0.49857492689","3492","1041","8032","1883"
"Prysm: Go Ethereum consensus client implementing proof-of-stake, sharding, and supporting Eth2 upgrades.","Hardhat: Ethereum development environment with Ignition deployments, EDR execution, and pnpm.","0.68306836544","0.31693163456","3492","1041","7385","1437"
